OBJECTID,Nousijamaa,Nimi,Lyhyt_tunn
4858,768,Ruskeasuo,H1931
4859,1030,Ruskeasuo,H1928
4860,10,Ruskeasuo,H2078
4861,621,Ruskeasuo,H1933
4862,959,Ruskeasuon varikko,H1932
4863,915,Ruskeasuon varikko,H2084
4864,172,Ruskeasuon varikko,H1939
4865,485,Ruskeasuon varikko,H1935
4866,7,Rusthollarinkuja,H4499
4867,27,Rusthollarinkuja,H4498
4868,4,Rusthollarintie,H4500
4869,5,Rusthollarintie,H4501
4870,58,Rusthollintie,Ki0230
4871,4,Rusthollintie,Ki0231
4872,26,Ruukinranta,V2101
4873,26,Ruukinranta,V2102
4874,107,Ruukinsilta,E4201
4875,21,Ruukinsilta,E4202
4876,18,Ruusutorppa,E1175
4877,40,Ruusutorppa,E1176
4878,23,Ruutanatie,H3121
4879,72,Ruutanatie,H3120
4880,2,Ruutikellarintie,E1151
4881,0,Ruutikellarit,H1297
4882,2,Ruutikellarit,H1298
4883,0,Ruutikuja,H4873
4884,1,Ruutikuja,H4874
4885,1,Ruutintie,V4015
4886,2,Ruutintie,V4016
4887,29,Rykmentinmäki,E1938
4888,65,Rystypolku,V1443
4889,0,Ryttars,E5147
4890,5,Ryttars,E5148
4891,175,Ryytimaa,E6334
4892,12,Ryytimaa,E6335
4893,0,Ryytimaankuja,H1732
4894,0,Ryytimaankuja,H1733
4895,2,Råbäck,E5164
4896,0,Råbäck,E5166
4897,0,Räyskäkuja,V8707
4898,26,Räyskäkuja,V8708
4899,12,Röylän koulu,E7015
4900,37,Röylän koulu,E7016
4901,6,Röylänristi,E7009
4902,5,Röylänristi,E7010
4903,193,Saanatunturintie,H4359
4904,110,Saanatunturintie,H4358
4905,4,Saariselän palvelut.,H4897
4906,10,Saariselänt. palv.t.,H4896
4907,122,Saarnimäki,E6103
4908,42,Saarnimäki,E6104
4909,16,Saarniraiviontie,E6105
4910,23,Saarnitie,V7007
4911,0,Saarnitie,V7008
4912,35,Sadolin,V6406
4913,13,Sahaajankatu 33,H4227
4914,103,Sahaajankatu 33,H4228
4915,1,Sahajärventie,E6921
4916,0,Sahajärventie,E6922
4917,6,Sahasaari,E4244
4918,52,Sahasaari,E4245
4919,19,Sairaalakatu,V7201
4920,130,Sairaalakatu,V7202
4921,7,Sakara,H4429
4922,370,Sakara,H4430
4923,3,Sakarakuja,V9325
4924,118,Sakarinmäen koulu,H5102
4925,65,Sakarinmäen koulu,H5101
4926,6,Salmensuu,E4151
4927,25,Salmintie,E1110
4928,8,Salmintie,E1124
4929,500,Salmisaari,H1015
4930,818,Salmisaari,H1016
4931,2,Salpar skola,Si1101
4932,24,Salpar skola,Si1103
4933,49,Salpausselänpolku,H3219
4934,26,Salpausselänpolku,H3220
4935,3,Salpausseläntie,H3714
4936,0,Salpausseläntie,H3715
4937,112,Samaria,E6025
4938,50,Samaria,E6169
4939,254,Samaria,E6170
4940,50,Samis,Ka1708
4941,64,Samis,Ka1709
4942,0,Sammalpolku,H3809
4943,1,Sammalpolku,H3810
4944,6,Sammaltie,V6415
4945,8,Sammaltie,V6424
4946,4,Sammaltie,V6696
4947,13,Sammalvuori,E4258
4948,9,Sammalvuori,E4937
4949,0,Sammontie,Ke0121
4950,43,Sammontie,Ke0122
4951,3,Sampola,Ke0411
4952,2,Sampola,Ke0412
4953,0,Sananjalantie,V6540
4954,34,Sananjalantie,V6541
4955,4,Sandalinkuja,Ki0830
4956,0,Sandalinkuja,Ki0831
4957,1,Sandbacka,V2232
4958,3,Sandbackanraitti,V5112
4959,55,Sandbackanraitti,V5113
4960,37,Sandbackanraitti,V5125
4961,0,Sandsdal,Ki1526
4962,7,Sandsdal,Ki1527
4963,4,Sandvikintie,Si0302
4964,0,Saniaiskuja,H3803
4965,5,Saniaiskuja,H3804
4966,10,Saniaistie,H3449
4967,73,Saniaistie,H3450
4968,0,Sankaritie,H1726
4969,0,Sankaritie,H1727
4970,1,Sannas,Ki1301
4971,6,Sannas,Ki1532
4972,12,Sanomala,V1733
4973,8,Sanomala,V1734
4974,2,Sanomatie,V1786
4975,2,Sanomatie,V1787
4976,71,Santahamina,H4116
4977,10,Santamäentie,V1219
4978,71,Santamäentie,V1220
4979,1,Santamäentie,V1403
4980,9,Santamäentie,V1404
4981,3,Santapellonkuja,E4259
4982,16,Santapellonkuja,E5252
4983,7,Santaradantie,V6420
4984,4,Santaradantie,V6421
