"","Departure.station.id","x","y","Rides_total"
"119","117",24.9481257001872,60.1896657985504,97881
"120","118",24.952206700403,60.1895253157117,124442
"121","119",24.9550767908172,60.1911804709255,60420
"122","12",24.9584922784237,60.1684959040351,183002
"123","120",24.9633904702172,60.1896359907606,68867
"124","121",24.967854123638,60.1864553029206,143892
"125","122",24.962063375375,60.1836809119419,155846
"126","123",24.9554449266327,60.179750209022,139852
"127","124",24.9817926053222,60.1826518123339,103785
"128","125",24.9797385551711,60.1859217406831,93765
"129","126",24.977153892421,60.1875308427268,209699
"130","127",24.9711566503401,60.1896945837642,97634
"131","128",24.9642238002852,60.1920575919922,47327
"132","129",24.9579782365195,60.1942276026523,79562
"133","13",24.9755284752387,60.1679190540567,55487
"134","130",24.9487523997729,60.1934740103444,49425
